Image_ID,Tree_Index,Class,X_Global,Y_Global,Z_Tiefe_lokal
3915,26,trunk,5956399.7609,644889.8523,1.67
3915,23,trunk,5956400.2758,644890.0426,1.40
3915,27,trunk,5956400.0951,644889.7270,1.71
3915,21,trunk,5956400.3377,644889.8598,1.47
3915,5,trunk,5956400.3371,644889.8606,1.47
3915,11,trunk,5956400.0794,644889.4242,1.77
3925,1,trunk,5956399.4840,644891.9575,1.67
3925,3,trunk,5956399.6636,644892.1973,1.46
3925,21,trunk,5956399.7840,644892.1112,1.36
3925,8,trunk,5956399.7809,644892.1009,1.37
3935,8,trunk,5956399.1892,644893.8045,1.76
3935,9,trunk,5956399.3681,644893.9819,1.32
3935,13,trunk,5956399.3182,644893.8758,1.40
3935,23,trunk,5956399.4845,644893.3078,1.99
3945,13,trunk,5956398.5445,644896.1344,1.82
3945,0,trunk,5956398.6114,644895.8439,2.02
3945,6,trunk,5956398.5178,644895.9352,1.74
3945,2,trunk,5956398.8465,644896.1447,1.39
3945,3,trunk,5956398.5263,644895.7041,1.65
3955,24,trunk,5956398.0068,644898.7436,1.49
3955,7,trunk,5956397.9211,644898.2466,2.03
3955,4,trunk,5956398.0771,644897.9410,2.04
3955,29,trunk,5956397.8784,644897.9513,1.87
3965,19,trunk,5956397.1815,644900.4822,1.78
3965,14,trunk,5956397.1185,644900.3918,1.90
3965,5,trunk,5956397.4742,644900.2751,1.96
3965,10,trunk,5956397.4126,644900.3505,1.74
3965,21,trunk,5956397.6236,644900.3630,1.54
3975,18,trunk,5956395.9719,644902.5978,1.86
3975,17,trunk,5956396.4850,644902.6737,1.74
3975,13,trunk,5956396.1790,644902.4631,1.81
3975,7,trunk,5956396.5395,644902.2745,1.94
3985,14,trunk,5956396.4858,644904.9039,1.74
3985,4,trunk,5956396.1869,644904.7382,1.79
3985,25,trunk,5956396.5145,644904.4761,1.98
3985,19,trunk,5956396.5672,644904.1214,2.13
3995,24,trunk,5956396.0991,644907.1024,1.62
3995,11,trunk,5956396.1359,644906.7910,1.83
3995,9,trunk,5956396.0522,644906.8143,1.70
3995,2,trunk,5956396.2913,644907.1516,1.09
3995,0,trunk,5956396.2516,644906.4095,1.96
4005,17,trunk,5956395.1113,644908.8128,2.07
4005,9,trunk,5956395.2988,644908.9957,1.58
4015,13,trunk,5956394.5283,644911.1990,1.67
4015,0,trunk,5956394.6019,644911.1111,1.90
